Date,Folio
02/02/1636,f24v
02/02/1636,f24v
02/02/1636,f24v
,
02/02/1636,f24v
,
03/02/1636,f24v
03/02/1636,f24v
,
15/04/1636,f25r
15/04/1636,f25r
15/04/1636,f25r
,
26/04/1636,f25r
,
21/05/1636,f25r
,
21/05/1636,f25v
21/05/1636,f25v
,
15/06/1636,f25v
,
06/07/1636,f25v
,
17/05/1636,f25v
,
1637?,f29r
1637?,f29r
1637?,f29r
1637?,f29r
1637?,f29r
,
22/08/1637,f29r
22/08/1637,f29r
22/08/1637,f29r
22/08/1637,f29r
,
22/08/1637,f29v
22/08/1637,f29v
,
05/04/1637,f29v
05/04/1637,f29v
05/04/1637,f29v
05/04/1637,f29v
05/04/1637,f29v
05/04/1637,f29v
,
14/03/1637,f30r
,
03/08/1637,f30r
03/08/1637,f30r
03/08/1637,f30r
03/08/1637,f30r
03/08/1637,f30r
,
09/09/1637,f30v
09/09/1637,f30v
09/09/1637,f30v
09/09/1637,f30v
09/09/1637,f30v
,
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
28/09/1758,f31r
,
26/09/1760,f32r
26/09/1760,f32r
26/09/1760,f32r
26/09/1760,f32r
26/09/1760,f32r
,
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
,
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
27/09/1763,f32v
,
??/??/176?,f36r
??/??/176?,f36r
??/??/176?,f36r
,
29/09/1769,f36r
29/09/1769,f36r
29/09/1769,f36r
29/09/1769,f36r
,
29/09/1769,f36v
,
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
,
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
21/12/1769,f37r
,
27/09/1770,f37r
27/09/1770,f37r
27/09/1770,f37r
27/09/1770,f37r
27/09/1770,f37r
27/09/1770,f37r
,
??/09/177?,f37v
??/09/177?,f37v
??/09/177?,f37v
??/09/177?,f37v
??/09/177?,f37v
,
26/11/17??,f37v
26/11/17??,f37v
26/11/17??,f37v
26/11/17??,f37v
26/11/17??,f37v
,
31/12/1776,f38r
31/12/1776,f38r
31/12/1776,f38r
,
31/12/1776,f38r
31/12/1776,f38r
31/12/1776,f38r
,
24/03/1772,f39r
24/03/1772,f39r
24/03/1772,f39r
,
25/09/1772,f39v
25/09/1772,f39v
25/09/1772,f39v
25/09/1772,f39v
25/09/1772,f39v
25/09/1772,f39v
,
13/10/1772,f39v
,
16/11/1772,f39v
16/11/1772,f39v
16/11/1772,f39v
16/11/1772,f39v
16/11/1772,f39v
16/11/1772,f39v
,
27/09/1773,f40r
27/09/1773,f40r
27/09/1773,f40r
,
07/10/177?,f40v
,
14/10/1774,f40r
14/10/1774,f40r
,
07/10/1773,f41r
07/10/1773,f41r
07/10/1773,f41r
,
15/02/1774,f41r
15/02/1774,f41r
15/02/1774,f41r
15/02/1774,f41r
15/02/1774,f41r
15/02/1774,f41r
15/02/1774,f41r
,
26/09/1774,f41r
26/09/1774,f41r
26/09/1774,f41r
26/09/1774,f41r
26/09/1774,f41r
,
18/11/1774,f41r
18/11/1774,f41r
18/11/1774,f41r
18/11/1774,f41r
18/11/1774,f41r
18/11/1774,f41r
18/11/1774,f41r
18/11/1774,f41r
,
10/11/1774,f42r
10/11/1774,f42r
10/11/1774,f42r
,
13/02/1775,f42r
,
16/02/1775,f42r
16/02/1775,f42r
,
16/02/1775,f42r
16/02/1775,f42r
16/02/1775,f42r
,
12/10/1775?,f43r
12/10/1775?,f43r
12/10/1775?,f43r
,
12/10/1775?,f43r
12/10/1775?,f43r
12/10/1775?,f43r
12/10/1775?,f43r
12/10/1775?,f43r
12/10/1775?,f43r
12/10/1775?,f43r
,
18/11/1777,f44r
18/11/1777,f44r
18/11/1777,f44r
18/11/1777,f44r
18/11/1777,f44r
18/11/1777,f44r
18/11/1777,f44r
,
25/11/1778,f44r
25/11/1778,f44r
25/11/1778,f44r
25/11/1778,f44r
25/11/1778,f44r
25/11/1778,f44r
,
24/02/1779,f44r
24/02/1779,f44r
24/02/1779,f44r
,
30/11/1779,f44v
30/11/1779,f44v
30/11/1779,f44v
30/11/1779,f44v
30/11/1779,f44v
30/11/1779,f44v
,
13/12/1789,f44v
13/12/1789,f44v
13/12/1789,f44v
13/12/1789,f44v
13/12/1789,f44v
13/12/1789,f44v
,
178?,f45r
178?,f45r
,
01/06/1784,f45v
01/06/1784,f45v
01/06/1784,f45v
,
02/07/1784,f45v
02/07/1784,f45v
,
20/07/1784,f45v
20/07/1784,f45v
,
02/12/1784,f46r
02/12/1784,f46r
02/12/1784,f46r
02/12/1784,f46r
02/12/1784,f46r
02/12/1784,f46r
02/12/1784,f46r
,
08/08/1785,f46r
08/08/1785,f46r
,
23/05/1775,f124v
23/05/1775,f124v
23/05/1775,f124v
23/05/1775,f124v
23/05/1775,f124v
23/05/1775,f124v
23/05/1775,f124v
23/05/1775,f124v
23/05/1775,f124v
23/05/1775,f124v
,
04/10/1725,f125v
04/10/1725,f125v
04/10/1725,f125v
04/10/1725,f125v
04/10/1725,f125v
04/10/1725,f125v
04/10/1725,f125v
04/10/1725,f125v
04/10/1725,f125v
04/10/1725,f125v
,
29/12/1729,f126r
29/12/1729,f126r
29/12/1729,f126r
29/12/1729,f126r
29/12/1729,f126r
29/12/1729,f126r
,
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,f126v
,
20/11/1738,f126v
20/11/1738,f126v
20/11/1738,f126v
20/11/1738,f126v
20/11/1738,f126v
20/11/1738,f126v
20/11/1738,f126v
20/11/1738,f126v
,
16/07/1743,f126v
16/07/1743,f126v
16/07/1743,f126v
16/07/1743,f126v
16/07/1743,f126v
16/07/1743,f126v
16/07/1743,f126v
,
26/05/1730,f127r
,
13/12/1736,f127r
13/12/1736,f127r
13/12/1736,f127r
13/12/1736,f127r
13/12/1736,f127r
13/12/1736,f127r
13/12/1736,f127r
13/12/1736,f127r
13/12/1736,f127r
13/12/1736,f127r
,
15/11/1738,f127r
15/11/1738,f127r
15/11/1738,f127r
15/11/1738,f127r
15/11/1738,f127r
15/11/1738,f127r
